date,season,playoff,team1,team2,elo1_pre,elo2_pre
1980-10-10,1981,,SDC,HOU,1422.7773,1491.4705
1980-10-10,1981,,SEA,LAL,1586.8328,1679.434
1980-10-10,1981,,UTA,POR,1394.4725,1494.0841
1980-10-10,1981,,DET,WSB,1306.218,1481.5461
1980-10-10,1981,,DEN,SAS,1430.1899,1494.5752
1980-10-10,1981,,NJN,IND,1474.6307,1475.9889
1980-10-10,1981,,BOS,CLE,1625.4172,1500.7485
1980-10-10,1981,,PHI,MIL,1617.5034,1601.1569
1980-10-10,1981,,PHO,GSW,1591.9409,1423.314
1980-10-11,1981,,IND,DET,1497.897,1298.5198
1980-10-11,1981,,NYK,MIL,1471.1809,1609.3116
1980-10-11,1981,,WSB,PHI,1489.2444,1609.3486
1980-10-11,1981,,DAL,SAS,1300.0,1499.1606
1980-10-11,1981,,CLE,NJN,1493.3539,1452.7227
1980-10-11,1981,,ATL,CHI,1542.9641,1449.572
1980-10-11,1981,,GSW,SDC,1418.5784,1435.2599
1980-10-11,1981,,KCK,UTA,1536.6196,1404.8352
1980-10-12,1981,,LAL,HOU,1683.5865,1478.9879
1980-10-12,1981,,DEN,UTA,1425.6045,1401.8765
1980-10-12,1981,,PHO,KCK,1596.6765,1539.5784
1980-10-12,1981,,POR,SEA,1483.7214,1582.6802
1980-10-13,1981,,NJN,DET,1461.441,1295.5258
1980-10-14,1981,,ATL,BOS,1546.8525,1632.8119
1980-10-14,1981,,CLE,DET,1484.6355,1291.4015
1980-10-14,1981,,DAL,SEA,1315.2839,1571.7109
1980-10-14,1981,,SAS,KCK,1483.8767,1534.5948
1980-10-14,1981,,NYK,PHI,1479.2332,1616.519
1980-10-15,1981,,NJN,PHI,1465.5653,1597.8301
1980-10-15,1981,,DEN,DAL,1416.1863,1312.8021
1980-10-15,1981,,GSW,POR,1427.3624,1494.6907
1980-10-15,1981,,HOU,SEA,1476.3739,1574.1927
1980-10-15,1981,,IND,CHI,1500.891,1445.6836
1980-10-15,1981,,KCK,LAL,1528.2036,1686.2006
1980-10-15,1981,,UTA,PHO,1411.2947,1601.66
1980-10-16,1981,,DET,SAS,1289.1064,1490.2679
1980-10-16,1981,,CLE,WSB,1486.9305,1482.074
1980-10-16,1981,,MIL,BOS,1601.2594,1625.4739
1980-10-17,1981,,ATL,NYK,1554.1906,1497.9221
1980-10-17,1981,,CHI,CLE,1463.5264,1490.0825
1980-10-17,1981,,DAL,KCK,1302.8354,1522.5906
1980-10-17,1981,,LAL,PHO,1691.8136,1610.6034
1980-10-17,1981,,POR,HOU,1489.7533,1481.9198
1980-10-17,1981,,SDC,DEN,1426.4758,1426.153
1980-10-17,1981,,WSB,NJN,1478.922,1457.5341
1980-10-18,1981,,CHI,NJN,1475.3472,1464.6829
1980-10-18,1981,,CLE,MIL,1478.2617,1590.3806
