date,team,rank
2022-10-18,ATL,12
2022-10-19,ATL,12
2022-10-20,ATL,13
2022-10-21,ATL,13
2022-10-22,ATL,11
2022-10-23,ATL,11
2022-10-24,ATL,14
2022-10-25,ATL,13
2022-10-26,ATL,12
2022-10-27,ATL,12
2022-10-28,ATL,12
2022-10-29,ATL,12
2022-10-30,ATL,12
2022-10-31,ATL,12
2022-11-01,ATL,12
2022-11-02,ATL,12
2022-11-03,ATL,12
2022-11-04,ATL,12
2022-11-05,ATL,12
2022-11-06,ATL,12
2022-11-07,ATL,12
2022-11-09,ATL,11
2022-11-10,ATL,12
2022-11-11,ATL,11
2022-11-12,ATL,11
2022-11-13,ATL,11
2022-11-14,ATL,10
2022-11-15,ATL,10
2022-11-16,ATL,11
2022-11-17,ATL,11
2022-11-18,ATL,11
2022-11-19,ATL,11
2022-11-20,ATL,11
2022-11-21,ATL,11
2022-11-22,ATL,11
2022-11-23,ATL,11
2022-11-25,ATL,11
2022-11-26,ATL,11
2022-11-27,ATL,11
2022-11-28,ATL,12
2022-11-29,ATL,12
2022-11-30,ATL,12
2022-12-01,ATL,12
2022-12-02,ATL,12
2022-12-03,ATL,11
2022-12-04,ATL,11
2022-12-05,ATL,12
2022-12-06,ATL,12
2022-12-07,ATL,12
2022-12-08,ATL,13
2022-12-09,ATL,13
2022-12-10,ATL,14
2022-12-11,ATL,14
2022-12-12,ATL,13
2022-12-13,ATL,13
2022-12-14,ATL,12
2022-12-15,ATL,14
2022-12-16,ATL,14
2022-12-17,ATL,13
2022-12-18,ATL,13
2022-12-19,ATL,13
2022-12-20,ATL,13
2022-12-21,ATL,13
2022-12-22,ATL,13
2022-12-23,ATL,13
2022-12-25,ATL,13
2022-12-26,ATL,13
2022-12-27,ATL,14
2022-12-28,ATL,15
2022-12-29,ATL,16
2022-12-30,ATL,16
2022-12-31,ATL,17
2023-01-01,ATL,17
2023-01-02,ATL,17
2023-01-03,ATL,18
2023-01-04,ATL,18
2023-01-05,ATL,17
2023-01-06,ATL,17
2023-01-07,ATL,17
2023-01-08,ATL,17
2023-01-09,ATL,17
2023-01-10,ATL,17
2023-01-11,ATL,17
2023-01-12,ATL,17
2023-01-13,ATL,17
2023-01-14,ATL,17
2023-01-15,ATL,16
2023-01-16,ATL,16
2023-01-17,ATL,15
2023-01-18,ATL,15
2023-01-19,ATL,14
2023-01-20,ATL,14
2023-01-21,ATL,14
2023-01-22,ATL,14
2023-01-23,ATL,14
2023-01-24,ATL,14
2023-01-25,ATL,14
2023-01-26,ATL,14
2023-01-27,ATL,14
2023-01-28,ATL,14
2023-01-29,ATL,15
2023-01-30,ATL,15
2023-01-31,ATL,16
2023-02-01,ATL,16
2023-02-02,ATL,16
2023-02-03,ATL,15
2023-02-04,ATL,14
2023-02-05,ATL,14
2023-02-06,ATL,14
2023-02-07,ATL,15
2023-02-08,ATL,15
2023-02-09,ATL,16
2023-02-10,ATL,15
2023-02-11,ATL,14
2023-02-12,ATL,14
2023-02-13,ATL,14
2023-02-14,ATL,15
2023-02-15,ATL,16
2023-02-16,ATL,16
2023-02-23,ATL,16
2023-02-24,ATL,16
2023-02-25,ATL,15
2023-02-26,ATL,15
2023-02-27,ATL,14
2023-02-28,ATL,14
2023-03-01,ATL,15
2023-03-02,ATL,15
2023-03-03,ATL,15
2023-03-04,ATL,15
2023-03-05,ATL,15
2023-03-06,ATL,15
2023-03-07,ATL,16
2023-03-08,ATL,16
2023-03-09,ATL,16
2023-03-10,ATL,16
2023-03-11,ATL,14
2023-03-12,ATL,15
2023-03-13,ATL,15
2023-03-14,ATL,16
2023-03-15,ATL,16
2023-03-16,ATL,16
2023-03-17,ATL,16
2023-03-18,ATL,15
2023-03-19,ATL,15
2023-03-20,ATL,16
2023-03-21,ATL,16
2023-03-22,ATL,16
2023-03-23,ATL,16
2023-03-24,ATL,16
2023-03-25,ATL,16
2023-03-26,ATL,16
2023-03-27,ATL,16
2023-03-28,ATL,16
2023-03-29,ATL,16
2023-03-30,ATL,16
2023-03-31,ATL,16
2023-04-01,ATL,16
2023-04-02,ATL,16
2023-04-04,ATL,16
2023-04-05,ATL,16
2023-04-06,ATL,16
2023-04-07,ATL,16
2023-04-08,ATL,16
2023-04-09,ATL,16
2023-04-11,ATL,16
2023-04-12,ATL,16
2023-04-14,ATL,16
2023-04-15,ATL,16
2023-04-16,ATL,16
2023-04-17,ATL,16
2023-04-18,ATL,16
2023-04-19,ATL,16
2023-04-20,ATL,16
2023-04-21,ATL,16
2023-04-22,ATL,15
2023-04-23,ATL,15
2023-04-24,ATL,16
2023-04-25,ATL,16
2023-04-26,ATL,15
2023-04-27,ATL,15
2023-04-28,ATL,15
2023-04-29,ATL,15
2023-04-30,ATL,15
2023-05-01,ATL,15
2023-05-02,ATL,15
2023-05-03,ATL,15
2023-05-04,ATL,15
2023-05-05,ATL,15
2023-05-06,ATL,15
2023-05-07,ATL,15
2023-05-08,ATL,15
2023-05-09,ATL,15
2023-05-10,ATL,15
2023-05-11,ATL,15
2023-05-12,ATL,15
2023-05-14,ATL,15
2023-05-16,ATL,15
2023-05-17,ATL,15
2023-05-18,ATL,15
2023-05-19,ATL,15
2023-05-20,ATL,15
2023-05-21,ATL,15
2023-05-22,ATL,15
2023-05-23,ATL,15
2023-05-25,ATL,15
2023-05-27,ATL,15
2023-05-29,ATL,15
2023-06-01,ATL,15
2023-06-04,ATL,15
2023-06-07,ATL,15
2023-06-09,ATL,15
2023-06-12,ATL,15
2022-10-18,BOS,1
2022-10-19,BOS,1
2022-10-20,BOS,1
2022-10-21,BOS,1
2022-10-22,BOS,1
2022-10-23,BOS,1
2022-10-24,BOS,1
2022-10-25,BOS,1
2022-10-26,BOS,1
2022-10-27,BOS,1
2022-10-28,BOS,1
2022-10-29,BOS,1
2022-10-30,BOS,1
2022-10-31,BOS,1
2022-11-01,BOS,1
2022-11-02,BOS,1
2022-11-03,BOS,1
2022-11-04,BOS,1
2022-11-05,BOS,1
2022-11-06,BOS,1
2022-11-07,BOS,1
2022-11-09,BOS,1
2022-11-10,BOS,1
2022-11-11,BOS,1
2022-11-12,BOS,1
2022-11-13,BOS,1
2022-11-14,BOS,1
2022-11-15,BOS,1
2022-11-16,BOS,1
2022-11-17,BOS,1
2022-11-18,BOS,1
2022-11-19,BOS,1
2022-11-20,BOS,1
2022-11-21,BOS,1
2022-11-22,BOS,1
2022-11-23,BOS,1
2022-11-25,BOS,1
2022-11-26,BOS,1
2022-11-27,BOS,1
2022-11-28,BOS,1
2022-11-29,BOS,1
2022-11-30,BOS,1
2022-12-01,BOS,1
2022-12-02,BOS,1
2022-12-03,BOS,1
2022-12-04,BOS,1
2022-12-05,BOS,1
2022-12-06,BOS,1
2022-12-07,BOS,1
2022-12-08,BOS,1
2022-12-09,BOS,1
2022-12-10,BOS,1
2022-12-11,BOS,1
2022-12-12,BOS,1
2022-12-13,BOS,1
2022-12-14,BOS,1
2022-12-15,BOS,1
2022-12-16,BOS,1
2022-12-17,BOS,1
2022-12-18,BOS,1
2022-12-19,BOS,1
2022-12-20,BOS,1
2022-12-21,BOS,1
2022-12-22,BOS,1
2022-12-23,BOS,1
2022-12-25,BOS,1
2022-12-26,BOS,1
2022-12-27,BOS,1
2022-12-28,BOS,1
2022-12-29,BOS,1
2022-12-30,BOS,1
2022-12-31,BOS,1
2023-01-01,BOS,1
2023-01-02,BOS,1
2023-01-03,BOS,1
2023-01-04,BOS,1
2023-01-05,BOS,1
2023-01-06,BOS,1
2023-01-07,BOS,1
2023-01-08,BOS,1
2023-01-09,BOS,1
2023-01-10,BOS,1
2023-01-11,BOS,1
2023-01-12,BOS,1
2023-01-13,BOS,1
2023-01-14,BOS,1
2023-01-15,BOS,1
2023-01-16,BOS,1
2023-01-17,BOS,1
2023-01-18,BOS,1
2023-01-19,BOS,1
2023-01-20,BOS,1
2023-01-21,BOS,1
2023-01-22,BOS,1
2023-01-23,BOS,1
2023-01-24,BOS,1
2023-01-25,BOS,1
2023-01-26,BOS,1
2023-01-27,BOS,1
2023-01-28,BOS,1
2023-01-29,BOS,1
2023-01-30,BOS,1
2023-01-31,BOS,1
2023-02-01,BOS,1
2023-02-02,BOS,1
2023-02-03,BOS,1
2023-02-04,BOS,1
2023-02-05,BOS,1
2023-02-06,BOS,1
2023-02-07,BOS,1
2023-02-08,BOS,1
2023-02-09,BOS,1
2023-02-10,BOS,1
2023-02-11,BOS,1
2023-02-12,BOS,1
2023-02-13,BOS,1
2023-02-14,BOS,1
2023-02-15,BOS,1
2023-02-16,BOS,1
2023-02-23,BOS,1
2023-02-24,BOS,1
2023-02-25,BOS,1
2023-02-26,BOS,1
2023-02-27,BOS,1
2023-02-28,BOS,1
2023-03-01,BOS,1
2023-03-02,BOS,1
2023-03-03,BOS,1
2023-03-04,BOS,1
2023-03-05,BOS,1
2023-03-06,BOS,1
2023-03-07,BOS,1
2023-03-08,BOS,1
2023-03-09,BOS,1
2023-03-10,BOS,1
2023-03-11,BOS,1
2023-03-12,BOS,1
2023-03-13,BOS,1
2023-03-14,BOS,1
2023-03-15,BOS,1
2023-03-16,BOS,1
2023-03-17,BOS,1
2023-03-18,BOS,1
2023-03-19,BOS,1
2023-03-20,BOS,1
2023-03-21,BOS,1
2023-03-22,BOS,1
2023-03-23,BOS,1
2023-03-24,BOS,1
2023-03-25,BOS,1
2023-03-26,BOS,1
2023-03-27,BOS,1
2023-03-28,BOS,1
2023-03-29,BOS,1
2023-03-30,BOS,1
2023-03-31,BOS,1
